REQUEST,Goods,oracle code,,ITEM DESCRIPTION,ITEM CATEGORY,QTY,price,JOB NO,total-amount,STATUE,ORDER,,
REQ2500008824,Goods, 10002844,,"CAPACITOR 2.5 MFD (ROUND), PIN, PLASTIC, MAKE: SYSCAP, ORIGIN: INDIA",ELECTRICAL MATERIAL,30,3.75,4378M,112.5,Approved,772295,,
REQ2500008824,Goods, 10002464,,"CAPACITOR 3.5 MFD SQUARE BLACK, PLASTIC, ORIGIN: INDIA",ELECTRICAL MATERIAL,30,3,4378M,90,Approved,772295,,
REQ2500008824,Goods, 10042554,,"FREON GAS R407C, PACKING: 11.3 KGS / CYL, MAKE: FLORON",GAS,5,298.3870968,4378M,1491.935484,Approved,772295,,
REQ2500008824,Goods, 10000009,,"BATTERY AA, PACKING: 20 CARD / BOX, 2PCS / CARD, BRAND: ENERGIZER",BATTERY,40,2.748250073,4378M,109.9300029,Approved,772295,,
REQ2500008824,Goods, 10000487,,"BATTERY AAA, PACKING: 20 CARD / BOX, 2PCS / CARD, BRAND: ENERGIZER",BATTERY,2,4.242424242,4378M,8.484848484,Approved,772295,,
REQ2500008824,Goods, 10002271,,"GAS R22, PACKING: 13.6KGS (30LBS), DISPOSABLE CYLINDER, BRAND: FLORON, ORIGIN: INDIA",GAS,20,199,4378M,3980,Approved,772295,,
REQ2500008649,Goods, 10048917,,"DB 63A IN STEEL SHEET IP65, I/C: 63A 4P ISOLATOR R/MOUNTED TYPE WITH 3PH KWH METER & 63A TP MCCB 25KA X 1NO, O/G: 32A SP MCB 6KA X2NO, 63A SP MCB 6KA X 4NO, 63A TP MCB 6KA X 2NO, MAKE: SCHNEIDER",PANELS,1,2776,4378M,2776,Approved,PO2500004844,,
REQ2500008649,Goods, 10048918,,"SUPPLY OF KWH METER 1PH, 100A, ORIGIN: UAE / CHINA",ELECTRICAL MATERIAL,2,436,4378M,872,Approved,PO2500004844,,
REQ2500008849,Goods, 10040872,,"THERMOSTAT FCU DIGITAL 3 SPEED 220V ON/OFF HALO HORIZONTAL (BLUE), REMOTE SENSOR, MODEL NO. T6861H2WB-R, MAKE: HONEYWELL",MECHANICAL MATERIAL,10,110,4378M,1100,Approved,PO2500004914,,
REQ2500008849,Goods, 10011469,,"TIME DELAY TIMER 3 - 10MIN, PART NO. ICM102B, MAKE: ICM, ORIGIN: USA",ELECTRICAL MATERIAL,10,14,4378M,140,Approved,PO2500004916,,
